Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Jan,2,Monday,Pontiac,Urban,Friday,Jan,2,Female,Married,31,Third Party,Sedan,151,8,400,1,7 years,31 to 35,No,No,no change,1,Collision,29805.00,3,0
Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Single,23,Policy Holder,Sport,152,8,400,4,5 years,26 to 30,No,No,no change,1,Liability,36769.00,5,0
Jan,2,Tuesday,Pontiac,Urban,Friday,Jan,2,Male,Single,31,Third Party,Sport,153,10,400,3,7 years,31 to 35,No,No,no change,1,Liability,35083.00,1,0
Sep,4,Tuesday,Honda,Urban,Monday,Oct,1,Male,Married,50,Third Party,Sedan,154,2,500,3,7 years,41 to 50,No,No,2 to 3 years,1,All Perils,22805.00,2,0
Jan,5,Saturday,Honda,Urban,Monday,Jan,5,Female,Single,33,Third Party,Sport,155,8,400,3,6 years,31 to 35,No,No,no change,1,Liability,24182.00,3,0
Jan,5,Sunday,Accura,Urban,Tuesday,Feb,1,Male,Married,30,Policy Holder,Sport,156,6,400,2,6 years,31 to 35,No,No,no change,1,Liability,36413.00,10,0
Jan,5,Monday,Mazda,Urban,Thursday,Feb,1,Male,Married,44,Policy Holder,Sedan,157,13,400,1,more than 7,36 to 40,No,No,no change,1,Collision,FALSE,8,0
Jan,4,Wednesday,Chevrolet,Urban,Tuesday,Feb,4,Male,Married,46,Policy Holder,Sedan,158,13,400,2,7 years,41 to 50,No,No,no change,1,All Perils,95926.00,1,0
Jan,5,Saturday,Honda,Urban,Wednesday,Feb,1,Male,Single,31,Policy Holder,Sport,159,11,400,4,6 years,31 to 35,No,No,no change,1,Liability,20959.00,4,0
Jan,5,Friday,Honda,Urban,Friday,Jan,5,Male,Married,48,Policy Holder,Sport,160,5,400,3,more than 7,41 to 50,No,No,no change,1,Liability,22578.00,2,0
Dec,2,Friday,Chevrolet,Urban,Friday,Jan,2,Male,Married,33,Policy Holder,Sedan,161,12,400,3,6 years,31 to 35,No,No,no change,1,All Perils,69824.00,0,1
Jan,4,Tuesday,Honda,Urban,Wednesday,Jan,4,Male,Single,0,Policy Holder,Sport,162,3,400,1,new,16 to 17,No,No,no change,1,Liability,86801.00,2,0
Jan,4,Friday,Chevrolet,Urban,Wednesday,Jan,4,Female,Single,37,Third Party,Sport,163,5,400,3,7 years,36 to 40,No,No,no change,1,Liability,83055.00,1,0
Jan,4,Friday,Toyota,Urban,Thursday,Jan,4,Male,Married,43,Third Party,Sedan,164,3,400,3,7 years,36 to 40,No,No,no change,1,All Perils,6435.00,0,0
Jan,2,Wednesday,Toyota,Urban,Monday,Jan,4,Female,Married,32,Third Party,Sedan,165,14,400,1,4 years,31 to 35,No,No,no change,3,Collision,36605.00,5,0
Jan,2,Thursday,Toyota,Urban,Thursday,Jan,2,Male,Married,57,Policy Holder,Sport,166,4,400,1,more than 7,51 to 65,No,No,no change,1,Liability,22978.00,2,0
Jan,3,Friday,Honda,Urban,Monday,Jan,3,Male,Married,65,Third Party,Sedan,167,8,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,26812.00,1,0
Oct,2,Saturday,Toyota,Urban,Monday,Oct,2,Female,Single,27,Policy Holder,Sedan,168,12,400,4,6 years,31 to 35,No,No,no change,1,Collision,26468.00,0,0
May,4,Friday,Nisson,Rural,Wednesday,Jul,2,Male,Married,42,Policy Holder,Utility,169,6,400,4,more than 7,36 to 40,No,No,4 to 8 years,2,All Perils,78515.00,3,0
May,3,Thursday,Honda,Urban,Monday,May,4,Male,Married,57,Policy Holder,Sport,170,7,400,1,more than 7,51 to 65,No,No,no change,1,Liability,29742.00,4,0
Mar,4,Friday,Pontiac,Urban,Wednesday,Mar,5,Male,Single,32,Policy Holder,Sedan,171,2,400,3,7 years,31 to 35,No,No,no change,1,All Perils,25387.00,0,0
Mar,1,Saturday,Mazda,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sport,172,7,400,2,7 years,31 to 35,No,No,no change,1,Liability,25201.00,2,0
Feb,2,Monday,VW,Urban,Tuesday,Feb,4,Male,Married,36,Policy Holder,Sedan,173,2,400,4,7 years,36 to 40,No,No,no change,1,Collision,36886.00,0,0
Feb,2,Monday,Toyota,Urban,Monday,Feb,2,Male,Single,28,Policy Holder,Sport,174,2,400,4,6 years,31 to 35,No,No,no change,1,Liability,30232.00,3,0
Feb,1,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,32,Policy Holder,Sedan,175,14,400,1,6 years,31 to 35,No,No,no change,1,All Perils,12357.00,1,0
Feb,1,Sunday,Chevrolet,Urban,Thursday,Feb,2,Male,Single,33,Policy Holder,Sedan,176,1,400,2,6 years,31 to 35,No,No,no change,1,All Perils,26774.00,0,0
Feb,2,Tuesday,Saab,Urban,Wednesday,Feb,2,Male,Married,37,Policy Holder,Sedan,177,1,400,2,more than 7,36 to 40,No,No,no change,1,All Perils,30990.00,4,0
Jan,5,Tuesday,Honda,Urban,Wednesday,Feb,1,Female,Single,26,Policy Holder,Sport,178,16,400,3,6 years,31 to 35,No,No,no change,1,Liability,29710.00,8,0
Jan,3,Sunday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,53,Policy Holder,Sedan,179,5,400,1,more than 7,41 to 50,No,No,no change,1,All Perils,21797.00,1,0
Jan,3,Saturday,Mercury,Rural,Tuesday,Jan,3,Male,Married,53,Third Party,Sedan,180,12,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,29807.00,1,0
Jan,3,Monday,Ford,Urban,Tuesday,Jan,3,Male,Married,74,Policy Holder,Sedan,181,8,400,4,more than 7,over 65,No,No,no change,1,All Perils,9053.00,2,0
Jun,3,Tuesday,Pontiac,Urban,Thursday,Jul,4,Male,Married,50,Policy Holder,Sedan,182,3,400,2,7 years,41 to 50,No,No,no change,1,Collision,22851.00,1,0
Jun,2,Thursday,Mazda,Urban,Friday,Jun,2,Male,Single,27,Third Party,Sedan,183,3,400,4,6 years,31 to 35,No,No,1 year,1,All Perils,20413.00,0,0
Dec,2,Sunday,Toyota,Urban,Tuesday,Feb,1,Male,Married,48,Third Party,Sedan,184,7,400,1,more than 7,41 to 50,No,No,no change,1,All Perils,28312.00,9,0
Jan,1,Sunday,Chevrolet,Urban,Tuesday,Jan,1,Female,Single,55,Third Party,Sedan,185,2,400,2,7 years,41 to 50,No,No,no change,1,All Perils,25729.00,0,0
Jan,1,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,48,Policy Holder,Sedan,186,10,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,27000.00,0,0
Jan,1,Monday,Honda,Urban,Wednesday,Jan,2,Male,Single,0,Third Party,Sport,187,8,400,4,new,16 to 17,No,No,no change,1,Liability,76083.00,4,0
Dec,5,Thursday,Pontiac,Urban,Friday,Jan,2,Male,Married,54,Third Party,Sport,188,10,400,4,7 years,41 to 50,No,No,no change,1,Liability,20579.00,1,0
Jan,1,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,36,Policy Holder,Sport,189,14,400,1,7 years,36 to 40,No,No,no change,1,Liability,33524.00,6,0
Dec,2,Monday,Mazda,Urban,Monday,Jan,1,Male,Married,43,Policy Holder,Sedan,190,10,400,2,more than 7,36 to 40,No,No,4 to 8 years,2,All Perils,37112.00,3,1
Dec,5,Friday,Mazda,Urban,Tuesday,Jan,1,Male,Married,41,Policy Holder,Sedan,191,1,400,4,more than 7,36 to 40,No,No,no change,1,Collision,36331.00,0,0
Feb,4,Tuesday,Toyota,Urban,Wednesday,Feb,4,Male,Married,48,Policy Holder,Sedan,192,6,400,2,more than 7,41 to 50,No,No,no change,1,All Perils,25277.00,2,0
Dec,3,Tuesday,Chevrolet,Urban,Monday,Jan,2,Male,Married,26,Policy Holder,Utility,193,14,400,2,6 years,31 to 35,No,No,no change,1,All Perils,96538.00,0,1
Feb,2,Sunday,Toyota,Urban,Monday,Feb,3,Female,Married,43,Policy Holder,Sedan,194,1,400,3,6 years,36 to 40,No,No,no change,1,All Perils,24667.00,0,0
Dec,3,Thursday,Honda,Urban,Monday,Jan,1,Male,Married,39,Policy Holder,Sport,195,13,400,3,more than 7,36 to 40,No,No,no change,1,Collision,84397.00,0,1
Feb,1,Friday,Chevrolet,Urban,Wednesday,Feb,2,Male,Married,49,Third Party,Sedan,196,4,400,3,more than 7,41 to 50,No,No,no change,1,Collision,39458.00,1,0
Feb,1,Saturday,Honda,Urban,Monday,Oct,3,Male,Married,37,Third Party,Sedan,197,14,400,3,7 years,36 to 40,No,No,no change,1,Collision,38342.00,4,0
Aug,1,Wednesday,Mazda,Urban,Thursday,Sep,2,Male,Married,36,Third Party,Sedan,198,1,400,3,7 years,36 to 40,No,No,no change,1,Collision,21817.00,3,0
Mar,1,Sunday,Pontiac,Urban,Friday,Mar,2,Female,Married,52,Policy Holder,Sedan,199,4,400,4,6 years,41 to 50,No,No,no change,1,All Perils,22887.00,4,0
Dec,4,Saturday,Pontiac,Urban,Monday,Jan,2,Male,Married,29,Third Party,Sedan,200,16,400,4,6 years,31 to 35,No,No,no change,1,All Perils,8221.00,0,0
Dec,4,Friday,Mazda,Urban,Monday,Jan,1,Male,Married,38,Third Party,Sedan,201,10,400,4,more than 7,36 to 40,No,No,no change,1,Collision,23588.00,0,0
Dec,4,Monday,Mazda,Urban,Tuesday,Jan,1,Male,Single,34,Policy Holder,Sedan,202,2,400,4,6 years,31 to 35,No,No,no change,1,Collision,24051.00,1,0
Dec,4,Monday,Honda,Rural,Friday,Jan,2,Male,Single,0,Policy Holder,Sedan,203,14,400,3,new,16 to 17,No,No,no change,1,Collision,98778.00,4,0
Sep,1,Monday,Honda,Rural,Tuesday,Sep,1,Male,Married,41,Policy Holder,Sport,204,6,400,4,7 years,36 to 40,No,No,no change,1,Liability,31449.00,0,0
Dec,3,Friday,Pontiac,Urban,Tuesday,Jan,3,Male,Married,41,Third Party,Sedan,205,16,500,3,7 years,36 to 40,No,No,2 to 3 years,1,All Perils,5071.00,3,1
Apr,4,Saturday,Pontiac,Urban,Tuesday,May,1,Male,Married,64,Policy Holder,Sedan,206,15,400,3,more than 7,51 to 65,No,No,no change,3,Collision,20403.00,1,0
Dec,3,Saturday,Pontiac,Urban,Monday,Jan,2,Male,Married,27,Policy Holder,Sedan,207,11,400,4,4 years,31 to 35,No,No,no change,1,Collision,81469.00,2,1
Sep,5,Friday,Mazda,Urban,Monday,Oct,1,Male,Single,25,Policy Holder,Sedan,208,5,400,4,5 years,26 to 30,No,No,no change,1,Collision,89180.00,4,0
Oct,1,Saturday,Toyota,Urban,Tuesday,Oct,2,Male,Single,21,Third Party,Sedan,209,5,400,2,5 years,26 to 30,No,No,no change,1,Collision,20651.00,1,0
Dec,4,Tuesday,Pontiac,Rural,Wednesday,Mar,3,Male,Married,31,Third Party,Sedan,210,16,400,2,6 years,31 to 35,No,No,no change,1,All Perils,18952.00,0,0
Apr,3,Monday,Pontiac,Urban,Monday,Apr,3,Male,Single,39,Policy Holder,Sedan,211,3,400,1,more than 7,36 to 40,No,No,4 to 8 years,2,Collision,24031.00,0,0
Feb,4,Wednesday,Honda,Rural,Monday,Feb,5,Female,Married,37,Third Party,Sedan,212,1,400,1,5 years,36 to 40,No,No,no change,1,All Perils,6200.00,0,0
Feb,3,Monday,Accura,Urban,Tuesday,Feb,3,Male,Married,41,Policy Holder,Sedan,213,11,400,4,7 years,36 to 40,No,No,no change,1,Collision,25654.00,8,0
Aug,2,Thursday,Pontiac,Urban,Wednesday,Aug,3,Male,Married,37,Policy Holder,Sedan,214,16,400,4,7 years,36 to 40,No,No,no change,1,All Perils,29336.00,0,0
Jun,4,Saturday,Mazda,Rural,Monday,Jun,4,Male,Married,28,Policy Holder,Sedan,215,7,400,1,7 years,31 to 35,No,No,no change,1,Collision,31196.00,3,0
Jun,1,Friday,Chevrolet,Urban,Monday,Sep,2,Male,Married,57,Policy Holder,Sedan,216,12,400,1,more than 7,51 to 65,No,No,no change,1,Collision,26844.00,0,0
Jun,1,Friday,Toyota,Urban,Tuesday,Jun,3,Male,Married,61,Policy Holder,Sedan,217,9,400,2,more than 7,51 to 65,Yes,No,no change,1,Collision,29429.00,0,0
Jan,5,Tuesday,Mazda,Urban,Tuesday,Jan,5,Male,Married,69,Policy Holder,Sport,218,3,700,4,more than 7,over 65,No,No,no change,1,Liability,26084.00,4,0
Jan,5,Tuesday,Honda,Urban,Thursday,Feb,2,Male,Married,67,Policy Holder,Sedan,219,11,400,1,more than 7,over 65,No,No,no change,1,Collision,27196.00,1,0
Feb,1,Thursday,Chevrolet,Urban,Monday,Feb,1,Male,Married,52,Policy Holder,Sedan,220,1,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,96572.00,1,0
Jul,4,Monday,Toyota,Urban,Thursday,Sep,1,Male,Single,23,Policy Holder,Sport,221,15,400,1,6 years,26 to 30,No,No,no change,1,Liability,20480.00,3,0
Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,38,Policy Holder,Sport,222,2,400,4,7 years,36 to 40,No,No,no change,1,Liability,10114.00,9,0
Jan,2,Monday,Toyota,Urban,Wednesday,Jan,2,Male,Married,32,Third Party,Sedan,223,13,400,4,7 years,31 to 35,No,No,no change,1,Collision,21971.00,2,0
Jan,2,Monday,Honda,Urban,Tuesday,Jan,2,Male,Married,26,Policy Holder,Sport,224,9,400,2,6 years,31 to 35,No,No,no change,1,Liability,26891.00,5,0
Jan,2,Monday,Toyota,Urban,Tuesday,Jan,2,Male,Married,57,Policy Holder,Sedan,225,4,400,1,more than 7,51 to 65,No,No,no change,1,All Perils,23745.00,2,0
Nov,3,Monday,Pontiac,Urban,Monday,Nov,3,Male,Married,29,Policy Holder,Sport,226,2,400,2,6 years,31 to 35,No,No,no change,1,Liability,72898.00,2,0
Oct,3,Tuesday,Saab,Urban,Wednesday,Oct,4,Male,Married,26,Third Party,Sedan,227,5,400,2,7 years,31 to 35,No,No,no change,19,Collision,35620.00,0,0
Oct,3,Tuesday,VW,Urban,Tuesday,Oct,5,Female,Single,30,Policy Holder,Sedan,228,14,400,1,6 years,31 to 35,No,No,no change,1,Collision,93047.00,4,0
Dec,4,Thursday,Pontiac,Rural,Wednesday,Jan,1,Male,Married,41,Policy Holder,Sedan,229,1,400,2,7 years,36 to 40,No,No,no change,1,Collision,26713.00,1,1
Oct,4,Wednesday,Pontiac,Urban,Thursday,Oct,4,Male,Married,65,Policy Holder,Sport,230,14,400,4,7 years,51 to 65,No,No,no change,1,Liability,76231.00,9,0
Jun,2,Monday,Pontiac,Urban,Thursday,Jun,4,Male,Married,33,Policy Holder,Sedan,231,13,400,1,6 years,31 to 35,No,No,no change,1,Collision,22114.00,0,0
Apr,2,Friday,Mazda,Urban,Friday,Apr,2,Male,Married,44,Policy Holder,Sedan,232,10,400,2,6 years,36 to 40,No,No,4 to 8 years,2,All Perils,24019.00,3,0
Dec,4,Thursday,Chevrolet,Urban,Monday,Jan,1,Male,Married,26,Policy Holder,Sedan,233,12,400,2,7 years,31 to 35,No,No,no change,1,Collision,20691.00,4,1
Mar,5,Tuesday,VW,Urban,Tuesday,Apr,1,Male,Married,32,Third Party,Sedan,234,5,400,2,6 years,31 to 35,No,No,no change,1,Collision,86484.00,0,0
Mar,4,Thursday,Mercury,Urban,Friday,Mar,4,Male,Married,29,Policy Holder,Sedan,235,16,400,3,6 years,31 to 35,No,No,no change,1,All Perils,9276.00,0,0
Dec,4,Thursday,Chevrolet,Urban,Tuesday,Jan,2,Male,Married,26,Policy Holder,Sedan,236,16,400,4,6 years,31 to 35,No,No,no change,1,All Perils,27856.00,0,1
Mar,1,Wednesday,Pontiac,Rural,Thursday,Mar,1,Female,Single,37,Policy Holder,Sedan,237,3,400,4,7 years,36 to 40,No,Yes,no change,1,Collision,29414.00,2,0
Mar,1,Thursday,Pontiac,Urban,Friday,Mar,1,Male,Married,33,Policy Holder,Sport,238,11,400,1,6 years,31 to 35,No,No,no change,1,Liability,25456.00,1,0
Jan,3,Monday,Pontiac,Urban,Saturday,Jan,4,Male,Married,54,Policy Holder,Sedan,239,7,400,2,more than 7,41 to 50,No,No,no change,1,All Perils,21046.00,0,0
Jan,3,Monday,Mazda,Urban,Tuesday,Jan,3,Male,Single,26,Policy Holder,Sport,240,5,400,4,7 years,31 to 35,No,No,no change,1,Liability,35520.00,5,0
Jan,3,Sunday,Chevrolet,Urban,Tuesday,Jan,3,Male,Single,32,Policy Holder,Sport,241,16,400,4,6 years,31 to 35,No,No,no change,1,Liability,28982.00,2,0
Jan,3,Saturday,Mazda,Urban,Monday,Jan,3,Female,Single,25,Policy Holder,Sport,242,1,400,3,4 years,26 to 30,No,No,under 6 months,1,Liability,27284.00,3,0
Aug,3,Wednesday,Mazda,Urban,Wednesday,Jan,3,Female,Single,23,Policy Holder,Sport,243,12,400,3,5 years,26 to 30,No,No,no change,1,Liability,27012.00,5,0
Aug,4,Monday,Honda,Urban,Thursday,Mar,3,Male,Single,0,Policy Holder,Sedan,244,7,400,1,new,16 to 17,No,No,no change,1,Collision,90270.00,0,0
Feb,3,Saturday,Pontiac,Urban,Monday,Mar,4,Male,Single,31,Third Party,Sedan,245,9,400,1,6 years,31 to 35,No,No,no change,1,Collision,8539.00,1,0
Dec,4,Friday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Third Party,Sedan,246,3,400,4,new,16 to 17,No,No,no change,1,Collision,87530.00,0,0
Feb,3,Thursday,Ford,Urban,Tuesday,Feb,5,Male,Married,42,Policy Holder,Sedan,247,14,400,4,7 years,36 to 40,No,No,no change,4,All Perils,13901.00,1,0
Feb,3,Thursday,Accura,Rural,Friday,Feb,3,Male,Married,42,Policy Holder,Sport,248,11,400,2,7 years,36 to 40,No,No,no change,1,Liability,36082.00,3,0
Feb,3,Friday,Toyota,Urban,Monday,Feb,3,Male,Single,32,Policy Holder,Sedan,249,16,700,2,7 years,31 to 35,No,No,no change,1,Collision,25617.00,1,0
Feb,2,Wednesday,Accura,Urban,Thursday,Feb,2,Male,Married,51,Policy Holder,Sedan,250,1,400,2,more than 7,41 to 50,No,No,no change,1,Collision,22838.00,4,0
Jan,3,Monday,Honda,Urban,Tuesday,Jan,3,Male,Single,19,Third Party,Sport,251,12,400,4,3 years,21 to 25,No,No,no change,1,Collision,80346.00,2,0
Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,26,Policy Holder,Sedan,252,10,400,1,7 years,31 to 35,No,No,no change,1,All Perils,20727.00,3,0
Jan,3,Monday,Pontiac,Urban,Monday,Jan,4,Male,Single,29,Policy Holder,Sedan,253,3,400,2,5 years,31 to 35,No,No,4 to 8 years,2,Collision,21280.00,1,0
Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,3,Male,Married,29,Policy Holder,Sport,254,15,400,2,6 years,31 to 35,No,No,no change,1,Liability,30551.00,2,0
Dec,5,Friday,Mazda,Urban,Tuesday,Jan,1,Male,Married,29,Third Party,Sport,255,12,400,2,7 years,31 to 35,No,No,no change,1,Collision,84666.00,4,0
Dec,5,Friday,Pontiac,Urban,Monday,Jan,1,Male,Single,44,Policy Holder,Sport,256,9,500,2,more than 7,36 to 40,No,No,2 to 3 years,1,Liability,27377.00,1,0
Dec,5,Saturday,VW,Urban,Wednesday,Jan,1,Male,Married,49,Policy Holder,Sedan,257,5,400,3,more than 7,41 to 50,No,No,no change,1,Collision,71699.00,1,0
Dec,5,Saturday,Toyota,Urban,Tuesday,Jan,1,Female,Married,47,Policy Holder,Sedan,258,12,400,1,7 years,41 to 50,No,No,no change,1,Collision,26394.00,4,0
Aug,3,Thursday,Mazda,Urban,Thursday,Aug,3,Male,Married,50,Policy Holder,Sedan,259,16,400,3,7 years,41 to 50,No,No,no change,1,Collision,21601.00,1,0
Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,50,Policy Holder,Sport,260,10,400,2,more than 7,41 to 50,No,No,no change,1,Liability,34881.00,4,0
Jun,1,Friday,Pontiac,Urban,Friday,Jun,1,Male,Married,44,Policy Holder,Sedan,261,9,400,2,more than 7,36 to 40,No,No,no change,1,Collision,20684.00,0,0
May,2,Sunday,Accura,Urban,Monday,May,2,Male,Married,42,Third Party,Sedan,262,1,400,4,7 years,36 to 40,No,No,no change,1,All Perils,28019.00,0,0
Apr,5,Thursday,Pontiac,Urban,Friday,Apr,5,Male,Married,49,Policy Holder,Sedan,263,3,400,1,more than 7,41 to 50,No,No,no change,1,Collision,32581.00,1,0
Apr,1,Saturday,Toyota,Urban,Tuesday,Apr,1,Male,Married,34,Third Party,Sedan,264,7,400,4,6 years,31 to 35,No,No,no change,1,Collision,25719.00,4,0
Feb,4,Monday,Pontiac,Urban,Monday,Aug,5,Female,Married,51,Policy Holder,Sport,265,16,400,2,7 years,41 to 50,No,No,no change,1,Liability,23022.00,1,0
Dec,4,Monday,VW,Urban,Monday,Jan,1,Male,Married,26,Third Party,Sedan,266,5,400,2,5 years,31 to 35,No,No,no change,1,Collision,91649.00,1,0
Feb,1,Saturday,Pontiac,Urban,Saturday,Feb,2,Male,Married,39,Policy Holder,Sport,267,4,400,3,7 years,36 to 40,No,No,no change,1,Liability,21124.00,4,0
Feb,2,Monday,Chevrolet,Urban,Tuesday,Feb,2,Female,Married,30,Third Party,Sedan,268,3,400,2,6 years,31 to 35,No,No,no change,1,All Perils,80615.00,1,0
Feb,2,Monday,Honda,Urban,Monday,Feb,3,Male,Single,0,Policy Holder,Sedan,269,5,400,3,new,16 to 17,No,No,no change,1,All Perils,78161.00,1,0
Feb,1,Tuesday,Honda,Urban,Monday,Feb,2,Male,Married,47,Policy Holder,Sport,270,9,400,3,more than 7,41 to 50,No,No,no change,1,Liability,29877.00,1,0
Jan,2,Friday,Chevrolet,Urban,Wednesday,Jan,2,Female,Married,33,Policy Holder,Sport,271,2,400,3,3 years,31 to 35,No,No,no change,1,Liability,29472.00,2,0
Jan,2,Saturday,Pontiac,Urban,Monday,Jan,2,Male,Single,31,Policy Holder,Sedan,272,6,400,4,6 years,31 to 35,No,No,no change,1,Collision,28122.00,0,0
Jan,2,Monday,Toyota,Rural,Monday,Jan,2,Male,Married,50,Policy Holder,Sedan,273,7,400,4,more than 7,41 to 50,No,No,no change,1,Collision,23636.00,0,0
Jan,2,Sunday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,78,Policy Holder,Sedan,274,11,400,1,more than 7,over 65,No,No,1 year,2,Collision,23295.00,1,0
Jan,2,Sunday,Honda,Urban,Friday,Jan,3,Male,Married,41,Policy Holder,Sport,275,9,400,3,7 years,36 to 40,No,No,no change,1,Liability,39543.00,0,0
Jan,1,Tuesday,Honda,Urban,Friday,Jan,3,Male,Single,39,Policy Holder,Sport,276,11,400,4,7 years,36 to 40,No,No,no change,1,Collision,91994.00,0,0
Jan,1,Wednesday,Toyota,Urban,Monday,Jan,2,Male,Married,33,Policy Holder,Sedan,277,10,400,2,7 years,31 to 35,No,No,no change,1,All Perils,17026.00,1,0
Jan,1,Thursday,Honda,Urban,Tuesday,Jan,2,Male,Single,0,Policy Holder,Sport,278,16,400,2,new,16 to 17,No,No,no change,1,Liability,82656.00,3,0
Dec,2,Monday,Pontiac,Urban,Monday,Dec,4,Female,Married,48,Policy Holder,Sedan,279,1,400,4,7 years,41 to 50,No,No,no change,1,All Perils,20818.00,4,0
Dec,3,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sport,280,12,400,4,new,16 to 17,No,No,no change,1,Liability,87394.00,1,0
Dec,2,Sunday,Honda,Urban,Wednesday,Feb,1,Male,Single,0,Policy Holder,Sedan,281,11,400,4,new,16 to 17,No,No,no change,1,All Perils,84315.00,0,0
Dec,4,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,30,Policy Holder,Sport,282,4,400,2,7 years,31 to 35,No,No,no change,1,Liability,21834.00,5,0
Mar,3,Saturday,Honda,Urban,Wednesday,Jan,2,Male,Single,0,Policy Holder,Sedan,283,10,400,2,new,16 to 17,No,No,no change,1,All Perils,78551.00,0,0
Dec,4,Tuesday,Pontiac,Urban,Thursday,Jan,2,Male,Married,38,Policy Holder,Sport,284,4,400,2,7 years,36 to 40,No,No,no change,1,Liability,20913.00,1,0
Dec,5,Tuesday,Toyota,Urban,Tuesday,Jan,2,Male,Married,28,Policy Holder,Sedan,285,7,400,3,7 years,31 to 35,No,No,no change,1,All Perils,14840.00,1,0
Dec,5,Tuesday,Honda,Urban,Tuesday,Jan,1,Male,Married,33,Policy Holder,Sedan,286,8,400,4,6 years,31 to 35,No,No,no change,1,All Perils,13215.00,0,0
Jan,1,Monday,Mazda,Urban,Monday,Jan,1,Female,Single,38,Policy Holder,Sport,287,1,400,1,more than 7,36 to 40,No,No,no change,1,Liability,34784.00,2,0
Jan,1,Tuesday,Honda,Urban,Friday,Jan,2,Male,Single,0,Policy Holder,Sport,288,11,400,4,new,16 to 17,No,No,no change,3,Liability,89125.00,3,0
Jan,1,Tuesday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,31,Policy Holder,Sedan,289,15,400,4,7 years,31 to 35,No,No,no change,1,Collision,34721.00,10,0
Jan,1,Thursday,Chevrolet,Urban,Friday,Jan,2,Male,Married,36,Policy Holder,Sport,290,1,400,2,7 years,36 to 40,No,No,no change,1,Liability,39710.00,4,0
Jan,1,Wednesday,Pontiac,Urban,Thursday,Jan,2,Male,Married,27,Third Party,Sport,291,2,400,4,7 years,31 to 35,No,No,no change,1,Liability,33641.00,0,0
Jan,2,Saturday,Toyota,Urban,Wednesday,Jan,2,Female,Married,60,Policy Holder,Sedan,292,1,400,1,more than 7,51 to 65,No,No,no change,1,All Perils,9158.00,2,0
Jan,2,Sunday,Honda,Rural,Tuesday,Jan,2,Male,Married,72,Third Party,Sedan,293,2,400,2,7 years,over 65,No,No,no change,1,All Perils,28264.00,0,0
Jan,2,Sunday,Ford,Urban,Wednesday,Jan,2,Male,Married,44,Policy Holder,Sport,294,5,400,2,more than 7,36 to 40,No,No,no change,1,Liability,65713.00,7,0
Jan,3,Monday,Honda,Urban,Monday,Jan,3,Male,Single,0,Policy Holder,Sport,295,11,400,1,new,16 to 17,No,No,4 to 8 years,2,Liability,93918.00,3,0
Jan,1,Monday,Pontiac,Urban,Wednesday,Jan,4,Female,Single,77,Policy Holder,Sedan,296,10,400,1,6 years,over 65,No,No,no change,1,All Perils,7818.00,0,0
Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Single,40,Third Party,Sport,297,15,400,1,7 years,36 to 40,No,No,no change,1,Liability,28946.00,1,0
Dec,5,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,43,Policy Holder,Sedan,298,1,400,4,7 years,36 to 40,No,No,no change,1,Collision,FALSE,2,1
Jan,3,Saturday,Honda,Urban,Monday,Jan,4,Male,Married,33,Third Party,Sedan,299,14,400,4,6 years,31 to 35,No,No,no change,1,Collision,35135.00,1,0
Jan,1,Tuesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Married,36,Third Party,Sedan,300,2,400,3,7 years,36 to 40,No,No,no change,1,All Perils,27066.00,1,0
Dec,5,Thursday,Pontiac,Urban,Monday,Jan,3,Male,Single,21,Third Party,Sedan,301,7,400,3,3 years,26 to 30,No,No,no change,1,Collision,27598.00,4,0
